Mahalle_norm,container_total,population,baseline_activity,demand_raw,demand_score
19 MAYIS,743.0,4371.0,11112.42857142857,0.4847549920829575,0.42963024685607676
30 AGUSTOS,0.0,0.0,0.0,-0.8759664367910109,0.0
AKCALAR,554.0,10581.0,10507.555555555555,0.5346908523227314,0.4453968508843078
ALAADINBEY,0.0,0.0,0.0,-0.8759664367910109,0.0
ATLAS,110.0,3720.0,1865.2,-0.5117831689100447,0.11498617127682799
BADIRGA,78.0,3440.0,1413.25,-0.5750833651585666,0.09499995046541938
BARIS,351.0,13667.0,13279.57142857143,0.4165638031037625,0.4080997581514307
BASKOY,55.0,3040.0,6449.166666666667,-0.6047501108555204,0.08563305801650267
BUYUKBALIKLI,100.0,5200.0,1380.75,-0.45078759480533265,0.13424473736071874
CUMHURIYET,1.136,16705.0,18110.428571428572,0.09326309092242739,0.3060217267220619
CALI,805.0,18226.0,27656.14285714286,1.3845416522825418,0.7137262835145524
CATALAGIL,51.0,1760.0,1603.0,-0.7016424932721176,0.05504053753965227
CAYLI,47.0,3240.0,709.0,-0.6339636270239196,0.07640926694756242
DUMLUPINAR,1.313,28594.0,41123.857142857145,0.8317944369474123,0.5392034770574226
ERTUGRUL,416.0,13058.0,10449.285714285714,0.4648063958344738,0.4233317347956321
ESENTEPE,762.0,13096.0,21057.714285714286,1.020029973707865,0.5986364207955122
FETHIYE,980.0,2192.0,18486.85714285714,0.7495988758039994,0.5132512884057444
GOKCE,95.0,4430.0,874.6666666666666,-0.5010185525575741,0.11838496009773312
GORUKLE,841.0,32489.0,48910.28571428572,2.291225442345471,1.0
GUMUSTEPE,479.0,2552.0,8274.142857142857,-0.0072766482516175915,0.27427760037583737
HASANAGA,224.0,1661.0,4945.8,-0.4398557183381854,0.1376963364062833
ISIKTEPE,699.0,3839.0,4524.857142857143,0.3607300357949241,0.39047096601015335
IHSANIYE,1.296,28846.0,39592.142857142855,0.837515963446419,0.5410099752796164
INEGAZI,22.0,1570.0,979.5,-0.7567035957792762,0.03765570434723745
IRFANIYE,164.0,1187.0,1933.5,-0.5664759307014512,0.09771763691625171
KADRIYE,25.0,1250.0,745.6666666666666,-0.7703383304579791,0.03335071267037689
KARACAOBA,81.0,3220.0,1034.2,-0.5841695560592401,0.09213110284032669
KARAMAN,2.414,11484.0,13926.42857142857,-0.20005682988641685,0.21340974361454768
KAYAPA,335.0,3085.0,9742.142857142857,-0.18063464742423557,0.2195420473092252
KONAK,1.362,24807.0,36217.28571428572,0.6085880919717447,0.46872895151761734
KONAKLI,125.0,1098.0,2035.0,-0.6271546705335077,0.07855910716888438
ODUNLUK,1.022,7362.0,20815.714285714286,-0.3851342626535158,0.15497393049369584
OZLUCE,276.0,4073.0,8577.0,-0.21983914338838798,0.20716373318736614
TAHTALI,108.0,1246.0,2954.818181818182,-0.6394846050725966,0.074666089312811
UCEVLER,2.59,27559.0,144605.2857142857,1.2866035137791476,0.6828035790366359
UCPINAR,21.0,920.0,1269.0,-0.7909265049747589,0.026850262018049156
URUNLU,358.0,1338.0,5997.0,-0.25758370717934465,0.19524637382572002
YAYLACIK,385.0,2039.0,7908.714285714285,-0.1722215543455289,0.22219837297554398
23 NISAN,605.0,21042.0,15773.857142857143,1.1847014617763376,0.6506293199795582
AHMET YESEVI,370.0,9021.0,13649.714285714286,0.20149456113846803,0.34019441797231526
ALTINSEHIR,1.711,1883.0,16526.14285714286,-0.6933973794646078,0.05764382591691276
ATAEVLER,916.0,17793.0,14647.0,1.4587668605964914,0.7371619360251879
AYVAKOY,0.0,1780.0,488.5,-0.7799325928054438,0.030321448036722754
BALAT,990.0,21167.0,24818.571428571428,1.793328809059478,0.8427955576149866
BALKAN,826.0,19594.0,19075.14285714286,1.444850974570553,0.7327681744354315
BESEVLER,1.091,2332.0,22146.571428571428,-0.6431164675206673,0.0735193755718485
CAMLICA,2.107,17741.0,20876.428571428572,0.1627320872139046,0.3279556666102943
DAGYENICE,138.0,4150.0,4258.5,-0.43686725926148773,0.1386399038283848
DEMIRCI,548.0,15415.0,20453.428571428572,0.8290646179555429,0.5383415719073583
DOGANKOY,187.0,2182.0,11119.714285714286,-0.435772472593365,0.13898556860333403
FADILLI,91.0,4110.0,1594.0,-0.5201196098215515,0.11235404754399635
GUNGOREN,68.0,5380.0,2336.6666666666665,-0.4829857907955967,0.12407857212066302
KIZILCIKLI,486.0,1088.0,8024.571428571428,-0.07537542754164517,0.2527762888390717
KORUBASI,23.0,3170.0,1423.0,-0.6689108931303253,0.06537511826316575
KURTULUS,200.0,8609.0,9483.714285714286,-0.08686455610137363,0.24914874463014272
KURUCESME,15.0,970.0,1117.3333333333333,-0.7977313462907937,0.02470172110997823
KULTUR,862.0,13452.0,10858.42857142857,1.1336046457839308,0.6344961591410876
MAKSEMPINAR,47.0,0.0,0.0,-0.80788331796541,0.02149636694703935
MINARELICAVUS,621.0,5194.0,8447.714285714286,0.33825723305174926,0.38337546829458646
UNCUKURU,53.0,2990.0,2051.3333333333335,-0.6318417079024817,0.0770792355514275
YOLCATI,1.039,5593.0,11898.857142857143,-0.5218920590864412,0.1117944195414855
