mahalle;nufus
19 MAYIS MAHALLESİ;4.371
23 NİSAN MAHALLESİ;21.042
29 EKİM MAHALLESİ;14.587
30 AĞUSTOS ZAFER MAHALLESİ;15.605
AHMET YESEVİ MAHALLESİ;9.021
AKÇALAR MAHALLESİ;10.581
ALAADDİNBEY MAHALLESİ;965
ALTINŞEHİR MAHALLESİ;18.83
ATAEVLER MAHALLESİ;17.793
ATLAS MAHALLESİ;372
AYVAKÖY MAHALLESİ;178
BADIRGA MAHALLESİ;344
BALAT MAHALLESİ;21.167
BALKAN MAHALLESİ;19.594
BARIŞ MAHALLESİ;13.667
BAŞKÖY MAHALLESİ;304
BEŞEVLER MAHALLESİ;23.32
BÜYÜKBALIKLI MAHALLESİ;520
CUMHURİYET MAHALLESİ;16.705
ÇALI MAHALLESİ;18.226
ÇAMLICA MAHALLESİ;17.741
ÇATALAĞIL MAHALLESİ;176
ÇAYLI MAHALLESİ;324
DAĞYENİCE MAHALLESİ;415
DEMİRCİ MAHALLESİ;15.415
DOĞANKÖY MAHALLESİ;2.182
DUMLUPINAR MAHALLESİ;28.594
ERTUĞRUL MAHALLESİ;13.058
ESENTEPE MAHALLESİ;13.096
FADILLI MAHALLESİ;411
FETHİYE MAHALLESİ;21.92
GÖKÇE MAHALLESİ;443
GÖLYAZI MAHALLESİ;1.241
GÖRÜKLE MAHALLESİ;32.489
GÜMÜŞTEPE MAHALLESİ;2.552
GÜNGÖREN MAHALLESİ;538
HASANAĞA MAHALLESİ;1.661
IŞIKTEPE MAHALLESİ;3.839
İHSANİYE MAHALLESİ;28.846
İNEGAZİ MAHALLESİ;157
İRFANİYE MAHALLESİ;1.187
KADRİYE MAHALLESİ;125
KARACAOBA MAHALLESİ;322
KARAMAN MAHALLESİ;11.484
KAYAPA MAHALLESİ;3.085
KIZILCIKLI MAHALLESİ;10.88
KONAK MAHALLESİ;24.807
KONAKLI MAHALLESİ;1.098
KORUBAŞI MAHALLESİ;317
KURTULUŞ MAHALLESİ;8.609
KURUÇEŞME MAHALLESİ;97
KÜLTÜR MAHALLESİ;13.452
MAKŞEMPINARI MAHALLESİ;312
MİNARELİÇAVUŞ MAHALLESİ;5.194
ODUNLUK MAHALLESİ;7.362
ÖZLÜCE MAHALLESİ;4.073
TAHTALI MAHALLESİ;1.246
UNÇUKURU MAHALLESİ;299
ÜÇEVLER MAHALLESİ;27.559
ÜÇPINAR MAHALLESİ;92
ÜRÜNLÜ MAHALLESİ;1.338
YAYLACIK MAHALLESİ;2.039
YOLÇATI MAHALLESİ;5.593
YÜZÜNCÜYIL MAHALLESİ;18.806
