date,vehicles,stops_used,opt_km,baseline_alpha_km,baseline_random_mean_km,savings_vs_alpha_km,savings_vs_random_mean_km,savings_vs_alpha_pct,savings_vs_random_mean_pct
2025-11-26,2,14,6.134,12.725,19.91,6.592,13.776,51.803536345776024,69.19136112506278
2025-11-27,1,12,4.848,8.193,11.168,3.346,6.321,40.839741242524106,56.59921203438395
2025-11-28,1,2,2.241,2.241,2.241,0.0,0.0,0.0,0.0
2025-11-29,1,9,4.591,4.911,8.458,0.32,3.867,6.515984524536755,45.72002837550248
2025-11-30,1,7,4.272,4.877,7.184,0.605,2.912,12.40516711092885,40.534521158129174
2025-12-01,1,11,6.12,10.855,13.295,4.734,7.175,43.61123906034086,53.967657013915
2025-12-02,1,2,2.099,2.099,2.099,0.0,0.0,0.0,0.0
2025-12-16,1,1,0.0,0.0,0.0,0.0,0.0,,
2025-12-17,1,1,0.0,0.0,0.0,0.0,0.0,,
2025-12-19,43,388,489.404,634.4639999999999,1210.647,145.062,721.245,22.863708579210172,59.57516931029442
2025-12-20,42,403,546.305,729.269,1414.783,182.969,868.482,25.089370314657554,61.3862337899169
2025-12-21,18,115,223.831,324.525,431.716,100.69500000000001,207.888,31.028426161312694,48.153878938932074
2025-12-22,43,486,578.101,755.516,1455.0819999999999,177.417,876.982,23.4828911631256,60.27028030035421
2025-12-23,42,441,587.982,732.965,1511.505,144.981,923.525,19.780071354020993,61.099698644728264
2025-12-24,43,371,506.474,707.196,1241.677,200.722,735.204,28.382796282784405,59.21056764359813
2025-12-25,30,77,103.253,133.449,159.962,30.197,56.712,22.628120105808208,35.45342018729449
